mp_id,formula,sites,composition,a_edge (angstrom),b_edge (angstrom),c_edge (angstrom),alpha_ang (deg),beta_ang (deg),gamma_ang (deg),crystal_system,space_group,total_magnetisation (bohr),energy_per_atom (eV/atom),formation_energy (eV/atom),energy_above_hull (eV/atom),stable,density (g/cc),band_gap (eV),direct_bandgap,volume (cubic-angstrom),bulk_modulus (GPa),shear_modulus (GPa)
mp-1206367,Ce3AlO,5,Ce3 Al1 O1,4.827101,4.827101,4.827101,90.0,90.0,90.0,cubic,Pm-3m,1.5256043,-6.7061688660000005,-1.405291576999998,0.0264691155,False,6.840366415089138,0.0,False,112.47581730920871,,
mp-1069526,Ce3InC,5,Ce3 In1 C1,5.839523,5.839523,5.839523,90.0,90.0,90.0,cubic,Pm-3m,2.9768282,-4.174138044,1.785599725166668,2.104923641999996,False,4.562938059286391,0.0,False,199.12790287259952,,
mp-20992,Ce3InC,5,Ce3 In1 C1,5.04591409,5.0459467,5.04587929,90.0,90.0,90.0,cubic,Pm-3m,2.5884167,-6.279061685999997,-0.319323916833328,0.0,True,7.072245460382699,0.0,False,128.47521933070757,,
mp-20550,Ce3PbC,5,Ce3 Pb1 C1,5.986195,5.986195,5.986195,90.0,90.0,90.0,cubic,Pm-3m,3.9170515,-4.386246108,1.7641863265000022,2.047164122666665,False,4.95081763190947,0.0,False,214.5124877735204,,
mp-20159,Ce3SnC,5,Ce3 Sn1 C1,5.843293,5.843293,5.843293,90.0,90.0,90.0,cubic,Pm-3m,3.6746229,-4.591966948,1.617850443500001,2.007927047666665,False,4.586504783776145,0.0,False,199.51382324234328,,
mp-1206922,Ce3SnN,5,Ce3 Sn1 N1,4.97328277,4.97332533,4.97330351,90.0,90.0,90.0,cubic,Pm-3m,3.0449487,-7.078435411999999,-1.046695569999997,0.0,True,7.466035504515731,0.0,False,123.00846147221452,,
mp-1245828,Ce3SnN,5,Ce3 Sn1 N1,5.878219,5.878219,5.878219,90.0,90.0,90.0,cubic,Pm-3m,4.8073011,-4.746509804,1.285230038000001,2.331925607999999,False,4.521554301822287,0.0,False,203.11279692854276,,
mp-21319,Ce3TlC,5,Ce3 Tl1 C1,5.862354,5.862354,5.862354,90.0,90.0,90.0,cubic,Pm-3m,2.9385982,-4.065410932000001,1.816786511833333,2.00400804333333,False,5.248032005932487,0.0,False,201.47265968457953,,
mp-1226650,CeAl3Ag,5,Ce1 Al3 Ag1,4.305624526627817,4.305624506986283,6.321598308523454,70.16755410863973,70.16752024642554,90.10063256377069,tet,I4mm,1.030045,-4.353065484000001,-0.34974247633333205,0.0,True,5.31349794003353,0.0,False,102.79464769359234,,
mp-1070063,CeAl3Au,5,Ce1 Al3 Au1,6.250577622912466,6.250577622912466,6.250577622912466,139.58926066478784,139.58926066478784,58.47748185861234,tet,I4mm,0.961297299999999,-4.669232456,-0.579720583999998,0.0,True,6.8267201710026,0.0,False,101.68140100567089,,
